"Address","Type","Datetime","Latitude","Longitude","Report Location","Incident Number"
"1329 S Angeline St","Medic Response","2022 Nov 29 06:28:00 PM","47.560183","-122.315511","POINT (-122.315511 47.560183)","F220145511"
"1820 Minor Ave","Medic Response","2022 Nov 29 05:46:00 PM","47.616989","-122.330811","POINT (-122.330811 47.616989)","F220145500"
"3233 16th Ave Sw","Medic Response","2022 Nov 29 05:14:00 PM","47.574847","-122.3553","POINT (-122.3553 47.574847)","F220145493"
"5240 University Way Ne","Medic Response","2022 Nov 29 04:36:00 PM","47.666712","-122.313047","POINT (-122.313047 47.666712)","F220145481"
"3642 33rd Ave S","Medic Response","2022 Nov 29 04:25:00 PM","47.571233","-122.291003","POINT (-122.291003 47.571233)","F220145476"
"223 Yesler Way","Medic Response","2022 Nov 29 04:20:00 PM","47.601718","-122.331581","POINT (-122.331581 47.601718)","F220145475"
"6512 35th Ave Sw","Medic Response","2022 Nov 29 03:44:00 PM","47.544573","-122.376448","POINT (-122.376448 47.544573)","F220145460"
"8604 23rd Ave Nw","Medic Response","2022 Nov 29 03:12:00 PM","47.691096","-122.385419","POINT (-122.385419 47.691096)","F220145445"
"4744 41st Ave Sw","Medic Response","2022 Nov 29 02:21:00 PM","47.560296","-122.38416","POINT (-122.38416 47.560296)","F220145428"
"8340 Wabash Ave S","Medic Response","2022 Nov 29 01:16:00 PM","47.52866","-122.268827","POINT (-122.268827 47.52866)","F220145408"
"S JACKSON ST / 5TH AVE S","Medic Response","2022 Nov 29 01:04:00 PM","47.599195","-122.327667","POINT (-122.327667 47.599195)","F220145403"
"410 2ND AVE ET S","Medic Response","2022 Nov 29 12:01:00 PM","47.601202","-122.331511","POINT (-122.331511 47.601202)","F220145369"
"4800 37th Ave Sw","Medic Response","2022 Nov 29 11:27:00 AM","47.559261","-122.378845","POINT (-122.378845 47.559261)","F220145355"
"7125 Fauntleroy Way Sw","Medic Response","2022 Nov 29 11:02:00 AM","47.539419","-122.390816","POINT (-122.390816 47.539419)","F220145348"
"10500 Meridian Ave N","Medic Response","2022 Nov 29 10:37:00 AM","47.705342","-122.333935","POINT (-122.333935 47.705342)","F220145335"
"1530 S Shelton St","Medic Response","2022 Nov 29 09:40:00 AM","47.557898","-122.312994","POINT (-122.312994 47.557898)","F220145312"
"1253 S Jackson St","Medic Response","2022 Nov 29 09:35:00 AM","47.599193","-122.316407","POINT (-122.316407 47.599193)","F220145310"
"6004 31st Ave Sw","Medic Response","2022 Nov 29 08:36:00 AM","47.548281","-122.37207","POINT (-122.37207 47.548281)","F220145288"
"10506 55th Ave S","Medic Response","2022 Nov 29 08:18:00 AM","47.506964","-122.264781","POINT (-122.264781 47.506964)","F220145276"
"222 Pike St","Medic Response","2022 Nov 29 07:49:00 AM","47.609389","-122.338655","POINT (-122.338655 47.609389)","F220145266"
"500 8th Ave N","Medic Response","2022 Nov 29 06:39:00 AM","47.623219","-122.341056","POINT (-122.341056 47.623219)","F220145243"
"7519 46th Ave S","Medic Response","2022 Nov 29 05:00:00 AM","47.535125","-122.275329","POINT (-122.275329 47.535125)","F220145218"
"2870 S HANFORD ST","Medic Response","2022 Nov 29 04:49:00 AM","47.574853","-122.295888","POINT (-122.295888 47.574853)","F220145216"
"4831 35th Ave Sw","Medic Response","2022 Nov 29 01:59:00 AM","47.558988","-122.376234","POINT (-122.376234 47.558988)","F220145174"
"9230 2nd Ave Sw","Medic Response","2022 Nov 29 12:57:00 AM","47.520679","-122.335803","POINT (-122.335803 47.520679)","F220145160"
"10507 Aurora Ave N","Medic Response","2022 Nov 29 12:51:00 AM","47.705096","-122.344695","POINT (-122.344695 47.705096)","F220145158"
"9101 M L King Jr Way S","Medic Response","2022 Nov 29 12:43:00 AM","47.52187","-122.279647","POINT (-122.279647 47.52187)","F220145154"
"S Trenton St / 41st Ave S","Medic Response","2022 Nov 28 10:26:00 PM","47.52421","-122.281194","POINT (-122.281194 47.52421)","F220145132"
"8817 41st Ave S","Medic Response","2022 Nov 28 09:57:00 PM","47.524112","-122.281255","POINT (-122.281255 47.524112)","F220145127"
"5519 12th Ave Ne","Medic Response","2022 Nov 28 09:18:00 PM","47.668723","-122.315191","POINT (-122.315191 47.668723)","F220145114"
"6717 46th Ave Sw","Medic Response","2022 Nov 28 07:26:00 PM","47.542969","-122.392193","POINT (-122.392193 47.542969)","F220145079"
"4313 26th Ave Sw","Medic Response","2022 Nov 28 07:17:00 PM","47.565353","-122.36547","POINT (-122.36547 47.565353)","F220145075"
"3rd Ave / Pike St","Medic Response","2022 Nov 28 07:06:00 PM","47.60975","-122.337793","POINT (-122.337793 47.60975)","F220145066"
"116 Pike St","Medic Response","2022 Nov 28 07:04:00 PM","47.608897","-122.339832","POINT (-122.339832 47.608897)","F220145065"
"4125 Ne Surber Dr","Medic Response","2022 Nov 28 06:58:00 PM","47.65575","-122.282748","POINT (-122.282748 47.65575)","F220145059"
"12th Ave Ne / Ne 67th St","Medic Response","2022 Nov 28 06:48:00 PM","47.677305","-122.315681","POINT (-122.315681 47.677305)","F220145047"
"1200 University St","Medic Response","2022 Nov 28 05:14:00 PM","47.611943","-122.325987","POINT (-122.325987 47.611943)","F220145025"
"325 7th Ave N","Medic Response","2022 Nov 28 04:40:00 PM","47.621179","-122.343683","POINT (-122.343683 47.621179)","F220145017"
"7732 17th Ave Sw","Medic Response","2022 Nov 28 04:37:00 PM","47.53339","-122.356388","POINT (-122.356388 47.53339)","F220145016"
"937 N 96th St","Medic Response","2022 Nov 28 03:59:00 PM","47.698721","-122.34681","POINT (-122.34681 47.698721)","F220145001"
"825 Eastlake Ave E","Medic Response","2022 Nov 28 03:55:00 PM","47.626215","-122.329199","POINT (-122.329199 47.626215)","F220144999"
"223 Yesler Way","Medic Response","2022 Nov 28 03:11:00 PM","47.601718","-122.331581","POINT (-122.331581 47.601718)","F220144982"
"937 N 96th St","Medic Response","2022 Nov 28 02:31:00 PM","47.698721","-122.34681","POINT (-122.34681 47.698721)","F220144966"
"675 S Lane St","Medic Response","2022 Nov 28 02:27:00 PM","47.596673","-122.324261","POINT (-122.324261 47.596673)","F220144965"
"3722 Beach Dr Sw","Medic Response","2022 Nov 28 12:37:00 PM","47.570957","-122.41071","POINT (-122.41071 47.570957)","F220144937"
"509 3rd Ave","Medic Response","2022 Nov 28 12:31:00 PM","47.602114","-122.330809","POINT (-122.330809 47.602114)","F220144933"
"1416 Nw Ballard Way","Medic Response","2022 Nov 28 11:18:00 AM","47.662932","-122.373981","POINT (-122.373981 47.662932)","F220144901"
"308 4th Ave S","Medic Response","2022 Nov 28 11:15:00 AM","47.599968","-122.328965","POINT (-122.328965 47.599968)","F220144900"
"14115 Aurora Ave N","Medic Response","2022 Nov 28 11:08:00 AM","47.731129","-122.345064","POINT (-122.345064 47.731129)","F220144897"
"929 N 145th St","Medic Response","2022 Nov 28 11:02:00 AM","47.734129","-122.346823","POINT (-122.346823 47.734129)","F220144893"
"11030 5th Ave Ne","Medic Response","2022 Nov 28 10:31:00 AM","47.709488","-122.323301","POINT (-122.323301 47.709488)","F220144880"
"10000 Holman Rd Nw","Medic Response","2022 Nov 28 10:27:00 AM","47.701727","-122.362067","POINT (-122.362067 47.701727)","F220144878"
"523 Pine St","Medic Response","2022 Nov 28 09:49:00 AM","47.611781","-122.336223","POINT (-122.336223 47.611781)","F220144864"
"935 E Barbara Bailey Way","Medic Response","2022 Nov 28 09:36:00 AM","47.618744","-122.320284","POINT (-122.320284 47.618744)","F220144857"
"548 15th Ave","Medic Response","2022 Nov 28 08:18:00 AM","47.606628","-122.312857","POINT (-122.312857 47.606628)","F220144826"
"6619 Rainier Ave S","Medic Response","2022 Nov 28 08:08:00 AM","47.543197","-122.27331","POINT (-122.27331 47.543197)","F220144816"
"12515 2nd Ave Nw","Medic Response","2022 Nov 28 06:37:00 AM","47.719755","-122.359603","POINT (-122.359603 47.719755)","F220144797"
"232 Belmont Ave E","Medic Response","2022 Nov 28 12:41:00 AM","47.620036","-122.324013","POINT (-122.324013 47.620036)","F220144738"
"2525 14th Ave S","Medic Response","2022 Nov 27 10:08:00 PM","47.580825","-122.314714","POINT (-122.314714 47.580825)","F220144694"
"6736 35th Pl S","Medic Response","2022 Nov 27 09:38:00 PM","47.541662","-122.288164","POINT (-122.288164 47.541662)","F220144686"
"915 2nd Ave","Medic Response","2022 Nov 27 08:15:00 PM","47.604548","-122.33457","POINT (-122.33457 47.604548)","F220144660"
"9007 18th Ave Sw","Medic Response","2022 Nov 27 07:37:00 PM","47.5228","-122.357797","POINT (-122.357797 47.5228)","F220144646"
"2131 Queen Anne Ave N","Medic Response","2022 Nov 27 07:14:00 PM","47.637541","-122.356937","POINT (-122.356937 47.637541)","F220144634"
"913 S JACKSON ST","Medic Response","2022 Nov 27 05:57:00 PM","47.59919","-122.320841","POINT (-122.320841 47.59919)","F220144605"
"2600 W Newton St","Medic Response","2022 Nov 27 04:59:00 PM","47.636982","-122.390364","POINT (-122.390364 47.636982)","F220144561"
"Nw Market St / 17th Ave Nw","Medic Response","2022 Nov 27 04:42:00 PM","47.668671","-122.378884","POINT (-122.378884 47.668671)","F220144556"
"915 Nw 45th St","Medic Response","2022 Nov 27 04:02:00 PM","47.661467","-122.368768","POINT (-122.368768 47.661467)","F220144534"
"12024 Greenwood Ave N","Medic Response","2022 Nov 27 03:36:00 PM","47.716184","-122.355524","POINT (-122.355524 47.716184)","F220144528"
"10245 39th Ave Sw","Medic Response","2022 Nov 27 02:34:00 PM","47.51157","-122.381654","POINT (-122.381654 47.51157)","F220144517"
"11007 2nd Ave Nw","Medic Response","2022 Nov 27 02:22:00 PM","47.708788","-122.359483","POINT (-122.359483 47.708788)","F220144515"
"77 S Washington St","Medic Response","2022 Nov 27 01:19:00 PM","47.600885","-122.334925","POINT (-122.334925 47.600885)","F220144496"
"10814 55th Ave S","Medic Response","2022 Nov 27 11:45:00 AM","47.503581","-122.264837","POINT (-122.264837 47.503581)","F220144466"
"1007 12th Ave S","Medic Response","2022 Nov 27 10:33:00 AM","47.59322","-122.317281","POINT (-122.317281 47.59322)","F220144436"
"101 N 104th St","Medic Response","2022 Nov 27 09:58:00 AM","47.704379","-122.358359","POINT (-122.358359 47.704379)","F220144429"
"3225 38th Ave Sw","Medic Response","2022 Nov 27 08:10:00 AM","47.575285","-122.380293","POINT (-122.380293 47.575285)","F220144397"
"3027 Ne 94th St","Medic Response","2022 Nov 27 07:01:00 AM","47.696588","-122.295621","POINT (-122.295621 47.696588)","F220144384"
"10515 11th Ave Nw","Medic Response","2022 Nov 27 04:07:00 AM","47.705286","-122.370154","POINT (-122.370154 47.705286)","F220144361"
"4041 Ne 105th St","Medic Response","2022 Nov 27 03:32:00 AM","47.70471","-122.284629","POINT (-122.284629 47.70471)","F220144354"
"9230 2nd Ave Sw","Medic Response","2022 Nov 27 03:16:00 AM","47.520679","-122.335803","POINT (-122.335803 47.520679)","F220144353"
"7555 24th Ave Sw","Medic Response","2022 Nov 27 02:02:00 AM","47.535012","-122.36317","POINT (-122.36317 47.535012)","F220144328"
"N Northgate Way / Midvale Ave N","Medic Response","2022 Nov 27 12:23:00 AM","47.705049","-122.343329","POINT (-122.343329 47.705049)","F220144308"
"Elliott Ave W / W Prospect St","Medic Response","2022 Nov 26 11:55:00 PM","47.629017","-122.370251","POINT (-122.370251 47.629017)","F220144303"
"4722 Latona Ave Ne","Medic Response","2022 Nov 26 11:54:00 PM","47.663291","-122.325078","POINT (-122.325078 47.663291)","F220144301"
"420 Maynard Ave S","Medic Response","2022 Nov 26 11:43:00 PM","47.59902","-122.325056","POINT (-122.325056 47.59902)","F220144298"
"7827 Rainier Ave S","Medic Response","2022 Nov 26 11:08:00 PM","47.532338","-122.269989","POINT (-122.269989 47.532338)","F220144288"
"6940 37th Ave S","Medic Response","2022 Nov 26 11:04:00 PM","47.540295","-122.286233","POINT (-122.286233 47.540295)","F220144286"
"11841 55th Ave S","Medic Response","2022 Nov 26 10:39:00 PM","47.497021","-122.264302","POINT (-122.264302 47.497021)","F220144280"
"7023 14th Ave Ne","Medic Response","2022 Nov 26 10:30:00 PM","47.67963","-122.313206","POINT (-122.313206 47.67963)","F220144276"
"1014 39th Ave E","Medic Response","2022 Nov 26 08:08:00 PM","47.627376","-122.282756","POINT (-122.282756 47.627376)","F220144226"
"Ne 43rd St / Brooklyn Ave Ne","Medic Response","2022 Nov 26 07:12:00 PM","47.659809","-122.314324","POINT (-122.314324 47.659809)","F220144212"
"Boren Ave / Madison St","Medic Response","2022 Nov 26 06:16:00 PM","47.609338","-122.325139","POINT (-122.325139 47.609338)","F220144189"
"7004 16th Ave Sw","Medic Response","2022 Nov 26 05:21:00 PM","47.540008","-122.354975","POINT (-122.354975 47.540008)","F220144175"
"1501 E Thomas St","Medic Response","2022 Nov 26 04:51:00 PM","47.620503","-122.312698","POINT (-122.312698 47.620503)","F220144166"
"12525 Aurora Ave N","Medic Response","2022 Nov 26 04:47:00 PM","47.719793","-122.344939","POINT (-122.344939 47.719793)","F220144160"
"210 Alaskan Way S","Medic Response","2022 Nov 26 03:08:00 PM","47.600593","-122.335915","POINT (-122.335915 47.600593)","F220144120"
"9051 20th Ave Sw","Medic Response","2022 Nov 26 10:43:00 AM","47.521744","-122.359155","POINT (-122.359155 47.521744)","F220144032"
"11532 35th Ave Ne","Medic Response","2022 Nov 26 09:44:00 AM","47.71284","-122.290678","POINT (-122.290678 47.71284)","F220144014"
"13300 Stone Ave N","Medic Response","2022 Nov 26 08:45:00 AM","47.725515","-122.3423","POINT (-122.3423 47.725515)","F220144003"
"2200 E Madison St","Medic Response","2022 Nov 26 08:07:00 AM","47.61842","-122.30365","POINT (-122.30365 47.61842)","F220143992"
"1848 N 54th St","Medic Response","2022 Nov 26 07:57:00 AM","47.667944","-122.335952","POINT (-122.335952 47.667944)","F220143989"
"5004 S Cambridge St","Medic Response","2022 Nov 26 06:04:00 AM","47.518271","-122.270983","POINT (-122.270983 47.518271)","F220143968"
"6441 23rd Ave S","Medic Response","2022 Nov 26 05:14:00 AM","47.544837","-122.304107","POINT (-122.304107 47.544837)","F220143960"
"116 Fairview Ave N","Medic Response","2022 Nov 26 04:57:00 AM","47.618693","-122.334256","POINT (-122.334256 47.618693)","F220143957"
"4502 Sw Wildwood Pl","Medic Response","2022 Nov 26 04:43:00 AM","47.52079","-122.390232","POINT (-122.390232 47.52079)","F220143953"
"12536 33rd Ave Ne","Medic Response","2022 Nov 26 03:14:00 AM","47.719514","-122.292729","POINT (-122.292729 47.719514)","F220143938"
"2717 Dexter Ave N","Medic Response","2022 Nov 26 02:55:00 AM","47.644374","-122.346913","POINT (-122.346913 47.644374)","F220143935"
"555 16th Ave","Medic Response","2022 Nov 25 11:56:00 PM","47.606687","-122.31155","POINT (-122.31155 47.606687)","F220143892"
"4528 44th Ave Sw","Medic Response","2022 Nov 25 11:50:00 PM","47.562691","-122.388129","POINT (-122.388129 47.562691)","F220143891"
"1147 N 94th St","Medic Response","2022 Nov 25 11:31:00 PM","47.697081","-122.343959","POINT (-122.343959 47.697081)","F220143888"
"1717 Belmont Ave","Medic Response","2022 Nov 25 10:52:00 PM","47.616576","-122.32449","POINT (-122.32449 47.616576)","F220143880"
"116 Stewart St","Medic Response","2022 Nov 25 09:15:00 PM","47.610387","-122.341198","POINT (-122.341198 47.610387)","F220143857"
"4548 California Ave Sw","Medic Response","2022 Nov 25 09:02:00 PM","47.562474","-122.386776","POINT (-122.386776 47.562474)","F220143853"
"4114 Sw Hinds St","Medic Response","2022 Nov 25 08:25:00 PM","47.573168","-122.384764","POINT (-122.384764 47.573168)","F220143846"
"120 REPUBLICAN ST","Medic Response","2022 Nov 25 08:25:00 PM","47.62327","-122.354871","POINT (-122.354871 47.62327)","F220143845"
"1402 4th Ave W","Medic Response","2022 Nov 25 07:35:00 PM","47.631339","-122.361804","POINT (-122.361804 47.631339)","F220143826"
"8600 Aurora Ave N","Medic Response","2022 Nov 25 07:25:00 PM","47.691287","-122.344531","POINT (-122.344531 47.691287)","F220143822"
"415 10th Ave","Medic Response","2022 Nov 25 07:04:00 PM","47.605346","-122.319413","POINT (-122.319413 47.605346)","F220143816"
